symbol_x,symbol_y,mean_ratio,std_ratio,pct_inversion
AAVE,ADA,245.0704,115.3134,0.0
AAVE,AVAX,6.9889,6.1786,0.0
AAVE,AXS,33.6286,62.3936,0.0
AAVE,BTC,0.0038,0.0022,1.0
AAVE,DOT,15.1124,8.5454,0.0
AAVE,ETH,0.0714,0.0487,1.0
AAVE,FTM,602.7409,1030.8894,0.0
AAVE,LTC,1.4396,0.5547,0.2491
AAVE,MATIC,571.5172,1325.5416,0.0
AAVE,SAND,439.0896,613.9246,0.0
AAVE,SOL,6.7783,12.8538,0.1816
AAVE,UNI,14.7038,3.843,0.0
AAVE,XLM,831.4235,246.0405,0.0
ADA,AAVE,0.0047,0.0015,1.0
ADA,AVAX,0.0279,0.0215,1.0
ADA,AXS,0.1027,0.1255,1.0
ADA,BTC,0.0,0.0,1.0
ADA,DOT,0.064,0.0231,1.0
ADA,ETH,0.0003,0.0002,1.0
ADA,FTM,1.9913,2.1276,0.3698
ADA,LTC,0.0066,0.0028,1.0
ADA,MATIC,1.5347,2.3066,0.7194
ADA,SAND,1.5006,1.3833,0.4997
ADA,SOL,0.0209,0.0248,1.0
ADA,UNI,0.0659,0.0196,1.0
ADA,XLM,3.8154,1.3364,0.0203
AVAX,AAVE,0.2313,0.1319,1.0
AVAX,ADA,48.1123,20.4582,0.0
AVAX,AXS,3.8349,3.6057,0.0279
AVAX,BTC,0.0008,0.0005,1.0
AVAX,DOT,3.104,1.6553,0.1828
AVAX,ETH,0.0126,0.006,1.0
AVAX,FTM,69.2215,48.8947,0.0
AVAX,LTC,0.3141,0.1845,1.0
AVAX,MATIC,54.7835,68.41,0.0
AVAX,SAND,55.943,35.1914,0.0
AVAX,SOL,0.7064,0.6806,0.8728
AVAX,UNI,3.2427,1.8958,0.1118
AVAX,XLM,189.855,111.9324,0.0
AXS,AAVE,0.0948,0.0658,1.0
AXS,ADA,18.2685,10.0565,0.0
AXS,AVAX,0.4319,0.3652,0.9721
AXS,BTC,0.0003,0.0003,1.0
AXS,DOT,1.1546,0.5684,0.2662
AXS,ETH,0.0053,0.0039,1.0
AXS,FTM,25.9058,21.4598,0.0
AXS,LTC,0.1266,0.0931,1.0
AXS,MATIC,14.877,8.2012,0.0
AXS,SAND,17.274,9.1952,0.0
AXS,SOL,0.2518,0.1878,0.9927
AXS,UNI,1.3104,0.9851,0.3958
AXS,XLM,75.6001,49.2108,0.0
BTC,AAVE,337.1012,160.0057,0.0
BTC,ADA,80362.0195,45844.9022,0.0
BTC,AVAX,1883.5268,1234.3331,0.0
BTC,AXS,8431.614,11959.7796,0.0
BTC,DOT,5293.0743,4069.4384,0.0
BTC,ETH,18.8686,6.2474,0.0
BTC,FTM,155648.7923,257273.5054,0.0
